id;student_number;start_date;email
1;Bedfordshire indigo radical;GB whiteboard;Saige36@hotmail.com
2;compressing Shoes Frozen;next generation Monitored;Asha_Wunsch@hotmail.com
3;drive Avon USB;Chair sensor;Weston35@gmail.com
4;Iowa invoice New Hampshire;adapter generate multi-byte;Dominic35@hotmail.com
5;algorithm Handmade;port Maine parsing;Rita_Bernhard0@gmail.com
6;functionalities Nevada;Accounts Alabama olive;Elissa_Collins63@hotmail.com
7;revolutionary Glens synthesizing;dedicated Sports Credit Card Account;Stan_Reynolds@gmail.com
8;driver Chief Marketing;Concrete Investment Account;Jarrell.Hudson84@hotmail.com
9;focus group Web;indexing;Carter12@gmail.com
10;installation deploy Interactions;Handmade Fiji Dollar;Rosemarie.Hermann@yahoo.com
